id,name,star_rating,rating,description,address,latitude,longitude,price,category_id,destination_id,city_id,district_id
1,파크 하얏트 서울,5,9.6,여기는 파크 하얏트 서울입니다,서울특별시 강남구 테헤란로 606,37.50873227,127.0608356,434500,2,1,1,1
2,인터컨티넨탈 그랜드 서울 파르나스,5,9.4,여기는 인터컨티넨탈 그랜드 서울 파르나스입니다,서울특별시 강남구 테헤란로 521,37.50911207,127.0608356,321860,2,1,1,1
3,안다즈 서울 강남,5,8,여기는 안다즈 서울 강남입니다,서울특별시 강남구 논현로 854,37.52568328,127.0289416,316800,2,1,1,1
4,강남 캠퍼스 호텔,0,9.4,여기는 강남 캠퍼스 호텔입니다,서울특별시 강남구 테헤란로 2길 13,37.49750813,127.0293627,207000,2,1,1,1
5,인터컨티넨탈 서울 코엑스,5,9.6,여기는 인터컨티넨탈 서울 코엑스입니다,서울특별시 강남구 봉은사로 524,37.51276346,127.0574276,206738,2,1,1,1
6,임피리얼 팰리스 서울,5,8.9,여기는 임피리얼 팰리스 서울입니다,서울특별시 강남구 언주로 640,37.51417416,127.0358912,162769,2,1,1,1
7,호텔 엔트라 강남,4,9,여기는 호텔 엔트라 강남입니다,서울특별시 강남구 도산대로 508,37.52409288,127.0485335,160446,2,1,1,1
8,포 포인츠 바이 쉐라톤 강남,4,9.3,여기는 포 포인츠 바이 쉐라톤 강남입니다,서울특별시 강남구 도산대로 203,37.52023432,127.028494,156750,2,1,1,1
9,신라 스테이 삼성,4,9.2,여기는 신라 스테이 삼성입니다,서울특별시 강남구 영동대로 506,37.51018995,127.0633093,148500,2,1,1,1
10,노보텔 앰배서더 강남 ,3,9,여기는 노보텔 앰배서더 강남 입니다,서울특별시 강남구 봉은사로 130,37.50544398,127.0288981,144748,2,1,1,1
11,동서울 호텔,3,7.5,여기는 동서울 호텔입니다,서울특별시 광진구 구의강변로 38,37.53433668,127.091876,56897,2,1,1,1
12,호텔 스타,3,8.6,여기는 호텔 스타입니다,서울특별시 강남구 논현로87길 17,37.49967972,127.035444,58410,2,1,1,1
13,라비타 호텔,3,8.7,여기는 라비타 호텔입니다,서울특별시 강남구 영동대로 712,37.52163647,127.0568683,59102,2,1,1,1
14,베니키아 노블레스 호텔,3,8.1,여기는 베니키아 노블레스 호텔입니다,서울특별시 강남구 테헤란로25길 6-13,37.50160452,127.0357991,60345,2,1,1,1
15,어반 플레이스 강남,4,8.8,여기는 어반 플레이스 강남입니다,서울특별시 서초구 효령로77길 30,37.49181946,127.0290638,60984,2,1,1,1
16,유원 호텔,1,1,여기는 유원 호텔입니다,서울특별시 서초구 서초동 1589-4 유원관광호텔,37.485126,127.0125581,63750,2,1,1,1
17,프린스 호텔,3,8,여기는 프린스 호텔입니다,서울특별시 강남구 선릉로86길 43,37.50435488,127.0530749,65000,2,1,1,1
18,호텔 프리마,4,8.6,여기는 호텔 프리마입니다,서울특별시 강남구 도산대로 536,37.52435614,127.0522769,65565,2,1,1,1
19,인더시티 비즈니스 호텔,3,8.2,여기는 인더시티 비즈니스 호텔입니다,서울특별시 강남구 테헤란로37길 13-8,37.50294336,127.0403382,67700,2,1,1,1
20,리버사이드 호텔,4,7.9,여기는 리버사이드 호텔입니다,서울특별시 서초구 강남대로107길 6,37.5187275,127.0180938,67855,2,1,1,1
